Year,Month,asin,brand,pageResult,Price,Mrp,title
2024,June,B0BDZWMGZ1,ACTIVA,1,1249,2990,"ACTIVA Easy Mix Nutri 2 Jar Mixer Grinder Powerful 500 Watt Motor | Long Lasting Shock Proof Abs Body | Heavy Duty Motor With Nano - Grinding Technology, Black come with 2 year warranty"
2024,June,B0BG4Y2ZY7,ACTIVA,2,2499,7990,"ACTIVA Megamix 1000 W Powerful Motor Mixer Grinder With 4 Jars | 2 Years Motor Warranty, Red"
2024,June,B0977C69CB,AGARO,2,4999,12995,"AGARO Grand Professional Blender/Grinder/Mixer, 2000 watts, 2 Litres BPA Free Jar, Commercial heavy duty blender, High Power & Speed Blender, 100% Copper Motor, Pulse Function, 8 Leaf SS Blade"
2024,June,B0CQJZKZ71,AGARO,3,5869,8999,"AGARO Royal Mixer Grinder 900W, Heavy Duty, 100% Pure Copper Motor, 3 Stainless Steel Jar, 3 Speed, Whip Function, Stainless Steel Blades,Wet & Dry Grinding, White"
2024,June,B0D3Q791KQ,almo,2,1290,3299,Almo Blend Master Treo Mixer Grinder Powerful Motor with 1 Year warranty (White & Gray) (3 Jar)
2024,June,B0BBSGXRZP,amazon basics,3,4599,9299,"amazon basics Mixer Grinder 750W Black, 4 Jars With Food Processor Jar And Flexi Lid, 750 Watt"
2024,June,B0CHDYNXJD,AMPLESTA,3,2899,5999,"Amplesta Powerful 900W Mixer Grinder Copper Motor (5 year Warranty), Stainless Steel Jars, ISI Marked, 3 Speeds Pulse Function, Shockproof ABS Body, Overload Protector, Mixer for Home"
2024,June,B0755JMLFV,AO Smith,3,25199,32500,AO Smith Z9 Hot+ normal RO |Baby-Safe Water |Hot Water |10 L Storage|8-Stage Purification |100%RO+SCMT (Silver Charged Membrane Tech.)|Wall mount Water Purifier
2024,September,B0DCK453V1,AO Smith,2,23999,32990,AO Smith Z9 Pro Black Instant Hot and Ambient Water RO+SCMT+Copper+Alkaline+Mintech | Hot Water in Stainless Steel Tank| Save upto 55% Water |10L Storage |8-Stage Purification| Water Purifier for Home
2024,September,B0CZDJM86H,AO Smith,3,23999,32990,AO Smith Z9 Pro Instant Hot and Ambient Water RO+SCMT+Copper+Alkaline+Mintech | Hot Water in Stainless Steel Tank | Save upto 55% Water | 10L Storage | 8-Stage Purification | Water Purifier for Home
2024,August,B0CZDJM86H,AO Smith,2,25199,32990,AO Smith Z9 Pro Instant Hot and Ambient Water RO+SCMT+Copper+Alkaline+Mintech |Hot Water in Stainless Steel Tank|Save upto 55% Water|10L Storage|8-Stage Purification| Water Purifier for Home|Baby Safe
2024,June,B0BJ6P3LSK,AQUA D PURE,1,4849,24999,"AQUA D PURE 4 in 1 Copper RO Water Purifier with 10 Stage Purification Filtration, UV, UF, TDS Adjuster and 12 Liter Large Storage Tank, Suitable for all type of water supply"
2024,August,B0BJ6P3LSK,AQUA D PURE,1,4701,25999,"AQUA D PURE 4 in 1 Copper RO Water Purifier with 10 Stage Purification Filtration, UV, UF, TDS Adjuster and 12 Liter Large Storage Tank, Suitable for all type of water supply"
2024,August,B0BJ6P3LSK,AQUA D PURE,3,4701,25999,"AQUA D PURE 4 in 1 Copper RO Water Purifier with 10 Stage Purification Filtration, UV, UF, TDS Adjuster and 12 Liter Large Storage Tank, Suitable for all type of water supply"
2024,September,B0BJ6P3LSK,AQUA D PURE,1,4701,25999,"AQUA D PURE 4 in 1 Copper RO Water Purifier with 10 Stage Purification Filtration, UV, UF, TDS Adjuster and 12 Liter Large Storage Tank, Suitable for all type of water supply"
2024,September,B0BJ6P3LSK,AQUA D PURE,3,4701,25999,"AQUA D PURE 4 in 1 Copper RO Water Purifier with 10 Stage Purification Filtration, UV, UF, TDS Adjuster and 12 Liter Large Storage Tank, Suitable for all type of water supply"
2024,September,B0CBVG9N6B,AQUA D PURE,3,4949,24999,"AQUA D PURE Copper + Alkaline RO Water Purifier 12L RO+UV+UF Copper+Bio-Alkaline +TDS Control+UV Purified Water, Suitable for all type of water supply 12 Liter"
