brand,revenue,date
A.O.Smith,2533677,01-07-2023
ADDYZ,746008,01-07-2023
AO Smith,7504575,01-07-2023
Aqua Ace,244752,01-07-2023
AQUA D PURE,118166955,01-07-2023
AQUA LIBRA WITH DEVICE,1780427,01-07-2023
Aquaguard,179985,01-07-2023
Aquatec plus,500625,01-07-2023
AQUAULTRA,1678000,01-07-2023
Blue Star,2497872,01-07-2023
Faber,676870,01-07-2023
Havells,6166244,01-07-2023
HUL Pureit,54759624,01-07-2023
KENT,35384210,01-07-2023
Kinsco,1672274,01-07-2023
LifeStraw,171451,01-07-2023
Livpure,9934697,01-07-2023
MORNA,1063120,01-07-2023
OZAT PURE WATER,124752,01-07-2023
PROVEN,2378449,01-07-2023
R.K. AQUA FRESH INDIA,1430187,01-07-2023
RAMA,1085043,01-07-2023
ROYAL AQUAFRESH,151658,01-07-2023
TATA Swach,1993156,01-07-2023
V-Guard,8188660,01-07-2023
ADDYZ,1271682,01-08-2023
ALAUKIK,127351,01-08-2023
AO Smith,13640169,01-08-2023
Aqua Active,593232,01-08-2023
AQUA D PURE,80022333,01-08-2023
AQUA FRISCH,0,01-08-2023
AQUA GRAND+,245783,01-08-2023
AQUA LIBRA WITH DEVICE,2063815,01-08-2023
AquaDart,944811,01-08-2023
Aquatec plus,839860,01-08-2023
AQUAULTRA,2436611,01-08-2023
Blue Star,920282,01-08-2023
Faber,2020160,01-08-2023
Generic,401475,01-08-2023
Havells,8933276,01-08-2023
HUL Pureit,42346082,01-08-2023
IONIX,2627163,01-08-2023
KENT,27858370,01-08-2023
Kinsco,3691589,01-08-2023
LifeStraw,306801,01-08-2023
Livpure,7263481,01-08-2023
MI,0,01-08-2023
Prestige,234000,01-08-2023
PROVEN,2045502,01-08-2023
R.K. AQUA FRESH INDIA,974184,01-08-2023
RAMA,446976,01-08-2023
ROYAL AQUAFRESH,483682,01-08-2023
TATA Swach,1222809,01-08-2023
V-Guard,8848735,01-08-2023
ADDYZ,1572372,01-09-2023
AO Smith,11309365,01-09-2023
AQUA D PURE,52010918,01-09-2023
AQUA GRAND+,736780,01-09-2023
