brand,sales,date
A.O.Smith,123,01-07-2023
ADDYZ,192,01-07-2023
AO Smith,425,01-07-2023
Aqua Ace,48,01-07-2023
AQUA D PURE,14069,01-07-2023
AQUA LIBRA WITH DEVICE,449,01-07-2023
Aquaguard,15,01-07-2023
Aquatec plus,89,01-07-2023
AQUAULTRA,532,01-07-2023
Blue Star,264,01-07-2023
Faber,113,01-07-2023
Havells,556,01-07-2023
HUL Pureit,3724,01-07-2023
KENT,2988,01-07-2023
Kinsco,326,01-07-2023
LifeStraw,49,01-07-2023
Livpure,1013,01-07-2023
MORNA,274,01-07-2023
OZAT PURE WATER,48,01-07-2023
PROVEN,427,01-07-2023
R.K. AQUA FRESH INDIA,313,01-07-2023
RAMA,297,01-07-2023
ROYAL AQUAFRESH,38,01-07-2023
TATA Swach,682,01-07-2023
V-Guard,940,01-07-2023
ADDYZ,318,01-08-2023
ALAUKIK,49,01-08-2023
AO Smith,731,01-08-2023
Aqua Active,68,01-08-2023
AQUA D PURE,10066,01-08-2023
AQUA FRISCH,0,01-08-2023
AQUA GRAND+,67,01-08-2023
AQUA LIBRA WITH DEVICE,525,01-08-2023
AquaDart,189,01-08-2023
Aquatec plus,140,01-08-2023
AQUAULTRA,597,01-08-2023
Blue Star,118,01-08-2023
Faber,311,01-08-2023
Generic,101,01-08-2023
Havells,812,01-08-2023
HUL Pureit,2723,01-08-2023
IONIX,219,01-08-2023
KENT,2584,01-08-2023
Kinsco,811,01-08-2023
LifeStraw,99,01-08-2023
Livpure,669,01-08-2023
MI,50,01-08-2023
Prestige,78,01-08-2023
PROVEN,373,01-08-2023
R.K. AQUA FRESH INDIA,216,01-08-2023
RAMA,97,01-08-2023
ROYAL AQUAFRESH,118,01-08-2023
TATA Swach,399,01-08-2023
V-Guard,965,01-08-2023
ADDYZ,414,01-09-2023
AO Smith,635,01-09-2023
AQUA D PURE,7068,01-09-2023
AQUA GRAND+,220,01-09-2023
AQUA LIBRA WITH DEVICE,484,01-09-2023
AquaDart,402,01-09-2023
AQUAULTRA,266,01-09-2023
BePURE,81,01-09-2023
Blue Star,56,01-09-2023
Faber,334,01-09-2023
Generic,0,01-09-2023
Havells,1089,01-09-2023
HUL Pureit,1895,01-09-2023
KENT,2360,01-09-2023
Kinsco,662,01-09-2023
LG,34,01-09-2023
Livpure,1222,01-09-2023
Native by UC,0,01-09-2023
PROVEN,445,01-09-2023
RAMA,272,01-09-2023
ROYAL AQUAFRESH,129,01-09-2023
TATA Swach,1227,01-09-2023
UI Intros,103,01-09-2023
V-Guard,798,01-09-2023
ADDYZ,468,01-10-2023
AO Smith,1060,01-10-2023
AQUA D PURE,8046,01-10-2023
AQUA LIBRA WITH DEVICE,495,01-10-2023
AquaDart,421,01-10-2023
Aquatec plus,144,01-10-2023
AQUAULTRA,414,01-10-2023
Dolphin,37,01-10-2023
Faber,0,01-10-2023
Generic,0,01-10-2023
Havells,916,01-10-2023
HUL Pureit,2794,01-10-2023
KENT,3246,01-10-2023
Kinsco,747,01-10-2023
LifeStraw,99,01-10-2023
Livpure,1637,01-10-2023
Native by UC,0,01-10-2023
PROVEN,558,01-10-2023
R.K. AQUA FRESH INDIA,252,01-10-2023
ROYAL AQUAFRESH,339,01-10-2023
TATA Swach,630,01-10-2023
V-Guard,1244,01-10-2023
ADDYZ,345,01-11-2023
All India Group,117,01-11-2023
AO Smith,461,01-11-2023
AQUA D PURE,7722,01-11-2023
AQUA LIBRA WITH DEVICE,330,01-11-2023
AquaDart,429,01-11-2023
Aquatec plus,119,01-11-2023
AQUAULTRA,576,01-11-2023
Faber,260,01-11-2023
Generic,204,01-11-2023
Havells,735,01-11-2023
HUL Pureit,2177,01-11-2023
JIVA WATER,26,01-11-2023
KENT,2302,01-11-2023
Kinsco,735,01-11-2023
Livpure,1121,01-11-2023
Native by UC,844,01-11-2023
Neerain,42,01-11-2023
PEORE,77,01-11-2023
PROVEN,637,01-11-2023
R.K. AQUA FRESH INDIA,135,01-11-2023
RAMA,412,01-11-2023
ROYAL AQUAFRESH,653,01-11-2023
TATA Swach,1074,01-11-2023
V-Guard,856,01-11-2023
WALDENT,25,01-11-2023
AO Smith,169,01-12-2023
