category,brand,asin,revenue,units,bsr
Omega,HealthKart,B0757MM647,2376725,6695,145
Omega,WOW,B0748HQW6C,5365360,7280,174
Omega,Neuherbs,B07WTBN75M,3989892,5708,220
Omega,WOW,B08CL2YVBV,7258145,7165,361
Omega,MuscleBlaze,B07CNV8XM7,2408579,4021,410
Omega,Swisse,B0843NWTXB,5520346,3133,616
Omega,Amway,B00I0WN5CU,3276805.6,2906,682
Omega,GNC,B07MBZK89S,2211540,2460,759
Omega,TATA 1MG,B0C9TGS9P4,1553643,2439,845
Omega,nveda,B07CN3Z2K4,842415,2373,936
Omega,Centrum,B0C4PS9HZ7,3055780,3220,968
Omega,MuscleBlaze,B08KZTVPC6,1343118,1582,1161
Omega,TrueBasics,B07XQB87RF,1309561,1639,1137
Omega,Muscle Nectar,B0B63B6Y9C,636709,1081,1237
Omega,GNC,B0B97G1K7Q,204516,684,1368
Omega,BBETTER,B08L3G7CNR,748001,1499,1558
Omega,Amway,B07P6YJ2MX,2305600,1100,1733
Omega,HIMALAYAN ORGANICS,B08SJ2PQGQ,932808.8,1232,1851
Omega,Carbamide Forte,B07S184VRN,761098,802,2073
Omega,TATA 1MG,B0CCRXTPN1,553915,797,2112
Omega,Zingavita,B0C9TGQMWD,342741,859,2172
Omega,HealthyHey Nutrition,B075QHMZRQ,388627,683,2183
Omega,FYTIKA HEALTHCARE PRODUCTS,B09WJ19XW4,562350,815,2274
Omega,Naturyz,B07CCN2291,565928,872,2458
Omega,Healthyr-U,B0C1Z5SZSC,250458,507,2474
Omega,Swisse,B08428SYDF,2013171.6,1047,1987
Omega,Carbamide Forte,B089YVZ4H2,362781,519,2562
Omega,Naturyz,B09KN8XCNX,347130,870,2416
Omega,Dr. Morepen,B09772K3NJ,318297,483,2710
Omega,Neuherbs,B0BX6X8L1Y,346710,889,2953
Omega,Zingavita,B09GW8JCSP,186468,492,3003
Omega,Dr. Morepen,B0BFX5C952,223451,509,3054
Omega,HealthKart,B0BLZG6DHL,1090866,2734,684
Omega,NUTRELA,B09NN9Z64N,212534,646,3260
Omega,Carbamide Forte,B09BR6V5F3,337324,676,3343
Omega,Unived,B00HH5GECE,617400,441,3389
Omega,Boldfit,B093WV4MDD,367357.4,1108,1895
Omega,Sunline,B0BY98XW2Q,254650,463,3553
Omega,YouWeFit,B0CS6VKT28,297986,314,3702
Omega,Generic,B0BR994CWC,35890,97,3726
Omega,QUARANT,B0BZCJWHLC,344655,345,3746
Omega,OZiva,B09PZ5ZWNG,150093,327,3800
Omega,TrueBasics,B0B3JGK2MX,349962,438,4301
Omega,Nutrabay,B08KT29S3C,144211,289,4362
Omega,Carbamide Forte,B0C2H1G4SF,166260,340,4567
Omega,Now Foods,B000J18RSW,294828,311,4609
Omega,NUTRELA,B09BFZFK4J,107254,326,4818
Omega,HIMALAYAN ORGANICS,B0CQMC78R4,79401,199,4839
Omega,Nutrilite,B00LUJYJX4,515250,458,4924
Omega,Nutrabay,B08KSZQRBN,179634,546,4941
Omega,RAWRX,B09SG2VH1P,278063.1,207,4984
Omega,Carbamide Forte,B09H4NW6N4,125291,359,5020
Omega,Forever Living Products,B0C3CL1XBQ,340473,217,5232
Omega,NutriGold,B08B3YZ2KH,251970,222,5364
Omega,BLISSIFY,B0CVTXWZTY,39732,258,5379
Omega,Herbalife,B07DB6HQ4F,367290,210,5432
Omega,Haleup,B0BBFTSGKM,82782,146,5765
Omega,Neuherbs,B0C2HVVRBC,72219,181,5858
Omega,Zingavita,B09MR1FVHD,173111,289,6099
Omega,HealthKart,B074CKGLFJ,153300,292,6126
Omega,NUTROVA,B08YN2994M,208980,129,7854
Omega,HealthKart,B09C8L16BW,220524,276,6188
Omega,Now Foods,B0095D2X3K,434961,279,6204
Omega,Naturyz,B0CLS6M4D8,57456,144,6348
Omega,FAST&UP,B07D75CXTT,167328,224,6393
Omega,Nutrafirst,B07WLXLYL1,74580,220,6553
Omega,Dr. Morepen,B097GT5YNJ,104482,238,6680
Omega,Nirvasa,B0CJYH4LM2,272739,1191,2167
Omega,HIMALAYAN ORGANICS,B0BWTY5Q5K,104922.75,185,6855
Omega,Miduty,B0836C52GZ,363374,166,6957
Omega,inLives,B0CX11LGNX,0,0,7279
Omega,Carbamide Forte,B0BMXHHZPV,165663,237,7328
Omega,Dr. Morepen,B09K48B7YP,258726,214,7888
Omega,Carbamide Forte,B09BR5ZCQ4,82063,137,7902
Omega,Neuherbs,B0C5JW171T,269850,150,7949
Omega,ZEROHARM,B09WV663Q1,174182,218,7974
Omega,NUTRELA,B0CR1K9YD9,32945,55,8085
Omega,NUTROVA,B08XXV7D4Z,184680,162,8201
Omega,Blubein,B0C3MMBH51,91569,131,8322
Omega,ClearCut,B0BVVB12BJ,68226,137,8619
Omega,Naturyz,B09YH6HCYX,154812,228,8685
Omega,Berryheal,B0BSFVHP6G,284004,196,9381
