asin,sales,date
B0757MM647,2376725,08-04-2024
B0748HQW6C,5365360,08-04-2024
B07WTBN75M,3989892,08-04-2024
B08CL2YVBV,7258145,08-04-2024
B07CNV8XM7,2408579,08-04-2024
B0843NWTXB,5520346,08-04-2024
B00I0WN5CU,3276806,08-04-2024
B07MBZK89S,2211540,08-04-2024
B0C9TGS9P4,1553643,08-04-2024
B07CN3Z2K4,842415,08-04-2024
B0C4PS9HZ7,3055780,08-04-2024
B08KZTVPC6,1343118,08-04-2024
B07XQB87RF,1309561,08-04-2024
B0B63B6Y9C,636709,08-04-2024
B0B97G1K7Q,204516,08-04-2024
B08L3G7CNR,748001,08-04-2024
B07P6YJ2MX,2305600,08-04-2024
B08SJ2PQGQ,932809,08-04-2024
B07S184VRN,761098,08-04-2024
B0CCRXTPN1,553915,08-04-2024
B0C9TGQMWD,342741,08-04-2024
B075QHMZRQ,388627,08-04-2024
B09WJ19XW4,562350,08-04-2024
B07CCN2291,565928,08-04-2024
B0C1Z5SZSC,250458,08-04-2024
B08428SYDF,2013172,08-04-2024
B089YVZ4H2,362781,08-04-2024
B09KN8XCNX,347130,08-04-2024
B09772K3NJ,318297,08-04-2024
B0BX6X8L1Y,346710,08-04-2024
B09GW8JCSP,186468,08-04-2024
B0BFX5C952,223451,08-04-2024
B0BLZG6DHL,1090866,08-04-2024
B09NN9Z64N,212534,08-04-2024
B09BR6V5F3,337324,08-04-2024
B00HH5GECE,617400,08-04-2024
B093WV4MDD,367357,08-04-2024
B0BY98XW2Q,254650,08-04-2024
B0CS6VKT28,297986,08-04-2024
B0BR994CWC,35890,08-04-2024
B0BZCJWHLC,344655,08-04-2024
B09PZ5ZWNG,150093,08-04-2024
B0B3JGK2MX,349962,08-04-2024
B08KT29S3C,144211,08-04-2024
B0C2H1G4SF,166260,08-04-2024
B000J18RSW,294828,08-04-2024
B09BFZFK4J,107254,08-04-2024
B0CQMC78R4,79401,08-04-2024
B00LUJYJX4,515250,08-04-2024
B08KSZQRBN,179634,08-04-2024
B09SG2VH1P,278063,08-04-2024
B09H4NW6N4,125291,08-04-2024
B0C3CL1XBQ,340473,08-04-2024
B08B3YZ2KH,251970,08-04-2024
B0CVTXWZTY,39732,08-04-2024
B07DB6HQ4F,367290,08-04-2024
B0BBFTSGKM,82782,08-04-2024
B0C2HVVRBC,72219,08-04-2024
B09MR1FVHD,173111,08-04-2024
B074CKGLFJ,153300,08-04-2024
B08YN2994M,208980,08-04-2024
B09C8L16BW,220524,08-04-2024
B0095D2X3K,434961,08-04-2024
B0CLS6M4D8,57456,08-04-2024
B07D75CXTT,167328,08-04-2024
B07WLXLYL1,74580,08-04-2024
B097GT5YNJ,104482,08-04-2024
B0CJYH4LM2,272739,08-04-2024
B0BWTY5Q5K,104923,08-04-2024
B0836C52GZ,363374,08-04-2024
B0CX11LGNX,0,08-04-2024
B0BMXHHZPV,165663,08-04-2024
B09K48B7YP,258726,08-04-2024
B09BR5ZCQ4,82063,08-04-2024
B0C5JW171T,269850,08-04-2024
B09WV663Q1,174182,08-04-2024
B0CR1K9YD9,32945,08-04-2024
B08XXV7D4Z,184680,08-04-2024
B0C3MMBH51,91569,08-04-2024
B0BVVB12BJ,68226,08-04-2024
B09YH6HCYX,154812,08-04-2024
B0BSFVHP6G,284004,08-04-2024
B09THCXNT9,104370,08-04-2024
B004T7DYOO,2477790,08-04-2024
B00CPJFJ46,245993,08-04-2024
B0C4QQNHC4,240948,08-04-2024
B08XZ7BDVK,22724,08-04-2024
B01M19RONJ,51397,08-04-2024
B0BJ2QJJN5,38599,08-04-2024
B08D3N535Y,36848,08-04-2024
B09Q2XK7MM,68942,08-04-2024
B002VLZHLS,162922,08-04-2024
B0BQH2XGH6,121014,08-04-2024
B077XTYH4P,310917,08-04-2024
B0CXH3SNRT,0,08-04-2024
B08LL3R6WB,93398,08-04-2024
B0BSNQ8VV1,57375,08-04-2024
B004O8I7JA,184341,08-04-2024
B01NCSCP1Y,51557,08-04-2024
B00DQ4YAXU,118326,08-04-2024
B0757MM647,2376725,08-04-2024
B0843NWTXB,5520346,08-04-2024
B07GHCS3L9,924507,08-04-2024
B07R9KJPZM,1878213,08-04-2024
B07XT437ZF,1481505,08-04-2024
B09DPQ5P39,0,08-04-2024
B001LF39MO,55485,08-04-2024
B09KN8XCNX,347130,08-04-2024
B0BS8VS3FC,536458,08-04-2024
B07KPJNV8G,229284,08-04-2024
B099PPPQ9W,181480,08-04-2024
B0BZCJWHLC,344655,08-04-2024
B07D13G8CC,813096,08-04-2024
B0C2H1G4SF,166260,08-04-2024
B00FNSQNBE,201878,08-04-2024
B0BS3VHTNS,105424,08-04-2024
B00IUHMRPG,131930,08-04-2024
B0BM4QNZJX,346596,08-04-2024
B08P5YM1SH,51514,08-04-2024
B07KPRLYM1,54250,08-04-2024
B002VLZHLS,162922,08-04-2024
B08X2TKSNL,5174644,08-04-2024
B09G19VMHF,29054,08-04-2024
B0BZCPMB9L,74925,08-04-2024
B000NPYY04,187122,08-04-2024
B0046XC528,59831,08-04-2024
B07TYYCH7S,25254,08-04-2024
B08HWZTRNS,185368,08-04-2024
B000LNHB3U,68820,08-04-2024
B002WTCLJA,460350,08-04-2024
B07WCPQSB9,1701,08-04-2024
