word,brand,frequency,analysis
good,Aquaguard,383,Positive
product,Aquaguard,381,Positive
good,HUL Pureit,352,Positive
good,KENT,319,Positive
good,Kinsco,293,Positive
good,AQUA D PURE,260,Positive
service,Aquaguard,259,Negative
product,Kinsco,258,Positive
product,KENT,257,Positive
product,HUL Pureit,256,Positive
good,PROVEN,255,Positive
water,Aquaguard,250,Positive
water,KENT,244,Positive
water,KENT,242,Negative
good,Havells,233,Positive
product,KENT,230,Negative
product,Livpure,230,Positive
good,Livpure,226,Positive
service,KENT,221,Negative
installation,HUL Pureit,210,Positive
product,Aquaguard,207,Negative
product,Havells,187,Positive
kent,KENT,184,Negative
product,AQUA D PURE,179,Positive
water,Kinsco,174,Positive
product,PROVEN,169,Positive
service,Aquaguard,162,Positive
water,Aquaguard,161,Negative
good,AO Smith,160,Positive
water,AO Smith,159,Positive
water,Havells,151,Positive
filter,KENT,148,Negative
water,PROVEN,148,Positive
service,HUL Pureit,146,Positive
installation,Aquaguard,139,Positive
product,AO Smith,139,Positive
water,Livpure,139,Positive
service,Livpure,113,Negative
service,KENT,112,Positive
water,RAMA,106,Positive
water,HUL Pureit,105,Positive
kent,KENT,104,Positive
installation,KENT,101,Positive
one,Aquaguard,101,Negative
good,V-Guard,100,Positive
filter,KENT,98,Positive
product,Livpure,97,Negative
water,AQUA D PURE,96,Positive
filter,Aquaguard,94,Negative
purifier,Aquaguard,92,Positive
good,Faber,91,Positive
service,Livpure,91,Positive
good,Native by UC,89,Positive
buy,KENT,88,Negative
ro,KENT,87,Negative
installation,Kinsco,83,Positive
price,Kinsco,80,Positive
buy,Aquaguard,79,Negative
product,Faber,79,Positive
good,RAMA,75,Positive
quality,Kinsco,75,Positive
eureka,Aquaguard,73,Negative
filter,RAMA,73,Positive
installation,PROVEN,73,Positive
product,Native by UC,73,Positive
purifier,Kinsco,73,Positive
water,HUL Pureit,73,Negative
even,Aquaguard,72,Negative
nice,Aquaguard,72,Positive
one,KENT,72,Negative
customer,Aquaguard,71,Negative
installation,Livpure,71,Positive
months,Aquaguard,71,Negative
good,PEORE,70,Positive
installation,AQUA D PURE,69,Positive
installation,Aquaguard,69,Negative
product,V-Guard,69,Positive
worst,Aquaguard,69,Negative
installation,V-Guard,68,Positive
months,KENT,68,Negative
product,HUL Pureit,67,Negative
good,Aquatec plus,65,Positive
worst,KENT,65,Negative
also,Aquaguard,64,Positive
working,Aquaguard,64,Negative
installation,KENT,63,Negative
water,PEORE,63,Positive
forbes,Aquaguard,62,Negative
product,RAMA,61,Positive
service,V-Guard,61,Positive
working,Kinsco,61,Positive
days,Aquaguard,60,Negative
filters,KENT,60,Negative
nice,HUL Pureit,60,Positive
don't,KENT,59,Negative
purifier,KENT,59,Negative
purifier,Livpure,59,Positive
water,Native by UC,59,Positive
buy,Aquaguard,58,Positive
