Brand,percentagecountofanalysis,Analysis
AQUAGUARD,11.51,Positive
HUL PUREIT,7.94,Positive
KINSCO,6.69,Positive
HAVELLS,6.02,Positive
AQUA D PURE,5.66,Positive
LIVPURE,5.56,Positive
AO SMITH,4.71,Positive
PROVEN,4.53,Positive
AQUAGUARD,4.40,Negative
V-GUARD,2.95,Positive
KENT,2.86,Positive
NATIVE BY UC,2.65,Positive
HUL PUREIT,2.06,Neutral
LIVPURE,1.92,Negative
KENT,1.73,Negative
FABER,1.71,Positive
HUL PUREIT,1.58,Negative
AQUA D PURE,1.43,Neutral
ROYAL AQUAFRESH,1.10,Positive
AQUA FRISCH,1.03,Positive
KINSCO,1.01,Negative
PEORE,1.01,Positive
AQUAGUARD,0.99,Neutral
DHANVI AQUAFRESH,0.97,Positive
AQUA D PURE,0.93,Negative
AQUATEC PLUS,0.90,Positive
AQUA LIBRA WITH DEVICE,0.86,Positive
KINSCO,0.80,Neutral
AQUAULTRA,0.76,Positive
KENT,0.76,Neutral
PROVEN,0.76,Neutral
LIVPURE,0.65,Neutral
AO SMITH,0.63,Negative
HAVELLS,0.61,Negative
HAVELLS,0.61,Neutral
NATIVE BY UC,0.61,Neutral
RAMA,0.57,Positive
NATIVE BY UC,0.55,Negative
GENERIC,0.51,Positive
FABER,0.48,Negative
V-GUARD,0.44,Neutral
V-GUARD,0.42,Negative
PROVEN,0.40,Negative
ROYAL AQUAFRESH,0.40,Negative
ROYAL AQUAFRESH,0.38,Neutral
AO SMITH,0.36,Neutral
R.K. AQUA FRESH INDIA,0.34,Positive
AQUADART,0.30,Positive
FABER,0.30,Neutral
GENERIC,0.29,Negative
AQUA FRISCH,0.23,Neutral
AQUADPURE,0.23,Positive
AQUAULTRA,0.23,Negative
AQUAULTRA,0.23,Neutral
NATURES,0.21,Positive
ALL INDIA GROUP,0.19,Negative
PEORE,0.19,Neutral
RAMA,0.17,Negative
GENERIC,0.13,Neutral
AQUADART,0.11,Negative
NATURES,0.11,Negative
ALL INDIA GROUP,0.10,Neutral
AQUA FRISCH,0.10,Negative
DHANVI AQUAFRESH,0.10,Neutral
R.K. AQUA FRESH INDIA,0.10,Negative
AQUATEC PLUS,0.08,Neutral
NATURES,0.08,Neutral
AQUA LIBRA WITH DEVICE,0.06,Negative
AQUA LIBRA WITH DEVICE,0.06,Neutral
AQUADART,0.06,Neutral
AQUADPURE,0.06,Neutral
AQUATEC PLUS,0.06,Negative
DHANVI AQUAFRESH,0.06,Negative
HOME-PRO,0.06,Negative
PEORE,0.06,Negative
R.K. AQUA FRESH INDIA,0.06,Neutral
AQUADPURE,0.04,Negative
BRITA,0.04,Negative
HOME-PRO,0.04,Positive
AQUASAVE MAKE EVERY DROP COUNT,0.02,Positive
BRITA,0.02,Positive
HOME-PRO,0.02,Neutral
RAMA,0.02,Neutral
RUIQUAN,0.02,Neutral
RUIQUAN,0.02,Positive
WATERTECH SYSTEMS,0.02,Neutral
