category,Words,asin,revenue
Water Purifier,Health,B0B5RMZDMK,506961.0
Multivitamins,Health,B0BD2H2XJ2,5314750.3
Multivitamins,Health,B0BD1RMHJ6,4245829.3
Multivitamins,Health,B0BD1RTMWR,3942424.0
Multivitamins,Health,B0BD1RTMWR,3942424.0
Multivitamins,Health,B0BD1SKZPP,2149141.3
Multivitamins,Health,B01N354KTE,1059345.0
Multivitamins,Health,B07R9KJPZM,2220723.0
Multivitamins,Health,B08XF3SCYJ,957656.0
Multivitamins,Health,B0CB48JTXP,975298.5
Multivitamins,Health,B0BFHCWBT6,1010754.0
Multivitamins,Health,B0BFHCWBT6,1010754.0
Multivitamins,Health,B0BD1RK2P1,2298667.5
Multivitamins,Health,B0BD1RK2P1,2298667.5
Multivitamins,Health,B078SV5K27,679765.0
Multivitamins,Health,B0B9YL3GPH,541163.0
Multivitamins,Health,B082Y8346Y,371070.0
Multivitamins,Health,B082Y8346Y,371070.0
Multivitamins,Health,B09X5SX17T,376246.0
Multivitamins,Health,B0B7XNTT35,142883.0
Multivitamins,Health,B0C9X2V3ZH,392160.0
Multivitamins,Health,B0C9X2V3ZH,392160.0
Multivitamins,Health,B088C5NDZG,186140.0
Multivitamins,Health,B07Z7Q978T,143444.0
Multivitamins,Health,B0B2P4L5N8,165537.5
Multivitamins,Health,B0B2P4L5N8,165537.5
Multivitamins,Health,B0CP7YVFDR,293166.0
Multivitamins,Health,B0CL6KR49W,149372.0
Multivitamins,Health,B09BFX2JZR,138312.0
Multivitamins,Health,B0BZDKWNSY,195109.0
Multivitamins,Health,B0BZDKWNSY,195109.0
Multivitamins,Health,B0CVND996K,0.0
Multivitamins,Health,B0CVND996K,0.0
Multivitamins,Health,B08CBY6YXQ,115200.0
Multivitamins,Health,B0CB83QJTX,163766.7
Multivitamins,Health,B0CKW9F81S,119600.0
Multivitamins,Health,B08CBKFKK3,100928.0
Multivitamins,Health,B0BZCJWHLC,432839.0
Water Purifier,Life,B0CH3DJQY5,214734.0
Water Purifier,Life,B0D21VSH55,28798200.0
Water Purifier,Life,B0C623ZBLH,9288433.0
Water Purifier,Life,B0D21VSH55,26803213.0
Water Purifier,Life,B0C623ZBLH,7636570.0
Water Purifier,Life,B0D21VSH55,35636730.0
Water Purifier,Free,B09YLWT89W,77540337.0
Water Purifier,Free,B07FJNNZCJ,7364763.0
Water Purifier,Free,B0085KK9OY,764127.0
Water Purifier,Free,B09F2FW4ZK,47426382.0
Water Purifier,Free,B009DA69KS,617487.0
Water Purifier,Free,B09GLW2F7L,8784803.0
Water Purifier,Free,B09GLW2F7L,722661.0
Water Purifier,Free,B09GLVM5ZD,678272.0
Water Purifier,Free,B08GZ8YF5B,4117464.0
Water Purifier,Free,B09GLW2F7L,1250928.0
Water Purifier,Free,B07FJNNZCJ,3599274.0
Water Purifier,Free,B09GLVM5ZD,1338921.0
Water Purifier,Free,B08KFC9HR6,2339740.0
Water Purifier,Free,B08KFC9HR6,2339740.0
Water Purifier,Free,B0085KK9OY,674559.0
Water Purifier,Free,B009DA69KS,608790.0
Water Purifier,Free,B09NRS513Q,2398275.0
Water Purifier,Free,B09F6HZJTD,2066232.0
Water Purifier,Free,B0B5RLPY8C,843489.0
Water Purifier,Free,B09GLVM5ZD,1356945.0
Water Purifier,Free,B0C28T1DL8,390370.0
Water Purifier,Free,B09VS25ZX7,2737135.0
Water Purifier,Free,B0085KK9OY,613092.0
Water Purifier,Free,B09GLW2F7L,1106754.0
Water Purifier,Free,B009DA69KS,502999.0
Water Purifier,Free,B09GLVM5ZD,1209758.0
Water Purifier,Free,B09F2FW4ZK,16610020.0
Water Purifier,Free,B09GLW2F7L,1604018.0
Water Purifier,Free,B0CJJ387M6,5811750.0
Water Purifier,Free,B09GLVM5ZD,1020568.0
Water Purifier,Free,B0085KK9OY,699750.0
Water Purifier,Free,B08HWXFRKK,2457000.0
Water Purifier,Free,B09GLW2F7L,2540395.0
Water Purifier,Free,B009DA69KS,510224.0
