category,Words,asin,revenue
Water Purifier,Health,B0B5RMZDMK,506961
Multivitamins,Health,B0BD2H2XJ2,5314750.3
Multivitamins,Health,B0BD1RMHJ6,4245829.3
Multivitamins,Health,B0BD1RTMWR,3942424
Multivitamins,Health,B0BD1RTMWR,3942424
Multivitamins,Health,B0BD1SKZPP,2149141.3
Multivitamins,Health,B01N354KTE,1059345
Multivitamins,Health,B07R9KJPZM,2220723
Multivitamins,Health,B08XF3SCYJ,957656
Multivitamins,Health,B0CB48JTXP,975298.5
Multivitamins,Health,B0BFHCWBT6,1010754
Multivitamins,Health,B0BFHCWBT6,1010754
Multivitamins,Health,B0BD1RK2P1,2298667.5
Multivitamins,Health,B0BD1RK2P1,2298667.5
Multivitamins,Health,B078SV5K27,679765
Multivitamins,Health,B0B9YL3GPH,541163
Multivitamins,Health,B082Y8346Y,371070
Multivitamins,Health,B082Y8346Y,371070
Multivitamins,Health,B09X5SX17T,376246
Multivitamins,Health,B0B7XNTT35,142883
Multivitamins,Health,B0C9X2V3ZH,392160
Multivitamins,Health,B0C9X2V3ZH,392160
Multivitamins,Health,B088C5NDZG,186140
Multivitamins,Health,B07Z7Q978T,143444
Multivitamins,Health,B0B2P4L5N8,165537.5
Multivitamins,Health,B0B2P4L5N8,165537.5
Multivitamins,Health,B0CP7YVFDR,293166
Multivitamins,Health,B0CL6KR49W,149372
Multivitamins,Health,B09BFX2JZR,138312
Multivitamins,Health,B0BZDKWNSY,195109
Multivitamins,Health,B0BZDKWNSY,195109
Multivitamins,Health,B0CVND996K,0
Multivitamins,Health,B0CVND996K,0
Multivitamins,Health,B08CBY6YXQ,115200
Multivitamins,Health,B0CB83QJTX,163766.7
Multivitamins,Health,B0CKW9F81S,119600
Multivitamins,Health,B08CBKFKK3,100928
Multivitamins,Health,B0BZCJWHLC,432839
Water Purifier,Life,B0CH3DJQY5,214734
Water Purifier,Life,B0D21VSH55,28798200
Water Purifier,Life,B0C623ZBLH,9288433
Water Purifier,Life,B0D21VSH55,26803213
Water Purifier,Life,B0C623ZBLH,7636570
Water Purifier,Life,B0D21VSH55,35636730
Water Purifier,Free,B09YLWT89W,77540337
Water Purifier,Free,B07FJNNZCJ,7364763
Water Purifier,Free,B0085KK9OY,764127
Water Purifier,Free,B09F2FW4ZK,47426382
Water Purifier,Free,B009DA69KS,617487
Water Purifier,Free,B09GLW2F7L,8784803
Water Purifier,Free,B09GLW2F7L,722661
Water Purifier,Free,B09GLVM5ZD,678272
Water Purifier,Free,B08GZ8YF5B,4117464
Water Purifier,Free,B09GLW2F7L,1250928
Water Purifier,Free,B07FJNNZCJ,3599274
Water Purifier,Free,B09GLVM5ZD,1338921
Water Purifier,Free,B08KFC9HR6,2339740
Water Purifier,Free,B08KFC9HR6,2339740
Water Purifier,Free,B0085KK9OY,674559
Water Purifier,Free,B009DA69KS,608790
Water Purifier,Free,B09NRS513Q,2398275
Water Purifier,Free,B09F6HZJTD,2066232
Water Purifier,Free,B0B5RLPY8C,843489
Water Purifier,Free,B09GLVM5ZD,1356945
Water Purifier,Free,B0C28T1DL8,390370
Water Purifier,Free,B09VS25ZX7,2737135
Water Purifier,Free,B0085KK9OY,613092
Water Purifier,Free,B09GLW2F7L,1106754
Water Purifier,Free,B009DA69KS,502999
Water Purifier,Free,B09GLVM5ZD,1209758
Water Purifier,Free,B09F2FW4ZK,16610020
Water Purifier,Free,B09GLW2F7L,1604018
Water Purifier,Free,B0CJJ387M6,5811750
Water Purifier,Free,B09GLVM5ZD,1020568
Water Purifier,Free,B0085KK9OY,699750
Water Purifier,Free,B08HWXFRKK,2457000
Water Purifier,Free,B09GLW2F7L,2540395
Water Purifier,Free,B009DA69KS,510224
Water Purifier,Free,B0095S978O,2400300
Water Purifier,Free,B07PZPN3J9,2238000
Water Purifier,Free,B07NJ4V6R7,2109000
Water Purifier,Free,B08SQGZZQ2,187500
Water Purifier,Free,B0958Q3K68,3569745
Water Purifier,Free,B09F2FW4ZK,13321914
Water Purifier,Free,B09GLVM5ZD,1381286
Water Purifier,Free,B09TZTFSHT,2567500
Water Purifier,Free,B09F2FW4ZK,39186088
Water Purifier,Free,B09GLW2F7L,12137517
Water Purifier,Free,B08GZ8YF5B,1033890
Water Purifier,Free,B09NKS8Q2V,10007166
Water Purifier,Free,B0CW62435R,0
Water Purifier,Free,B0085KK9OY,1279201
Water Purifier,Free,B09GLVM5ZD,2332314
Water Purifier,Free,B009DA69KS,867006
Water Purifier,Free,B0958Q3K68,3346000
Water Purifier,Free,B0095S978O,2945200
Water Purifier,Free,B0CJJ387M6,4912854
Water Purifier,Free,B07NJ4V6R7,2059643
Water Purifier,Free,B08XXLDTSJ,1037244
Water Purifier,Free,B0CR1V6527,464907
Water Purifier,Free,B07PZPN3J9,2275300
Water Purifier,Free,B09GLW6Z7D,404106
Water Purifier,Free,B09CGQ6FCK,2121217
Water Purifier,Free,B09GLW2F7L,9337428
Water Purifier,Free,B09F2FW4ZK,33779357
Water Purifier,Free,B09GLVM5ZD,2540379
Water Purifier,Free,B09CGQ6FCK,2296656
Water Purifier,Free,B0958Q3K68,2154438
Water Purifier,Free,B07NJ4V6R7,2225300
Water Purifier,Free,B0095S978O,2305800
Water Purifier,Free,B07PZPN3J9,1865000
Water Purifier,Free,B08BPLRWNS,27626488
Water Purifier,Free,B09GLW2F7L,6861204
Water Purifier,Free,B09GLVM5ZD,2485435
Water Purifier,Free,B0958Q3K68,2619903
Water Purifier,Free,B09CGQ6FCK,2934616
Water Purifier,Free,B0095S978O,2478960
Water Purifier,Free,B07NJ4V6R7,2066640
Water Purifier,Free,B07PZPN3J9,2126100
Water Purifier,Free,B09TZTFSHT,3575000
Water Purifier,Free,B0CLF1RBXT,0
Water Purifier,Free,B0CL6NHYXM,0
Water Purifier,Free,B0085KK9OY,704518
Water Purifier,Free,B009DA69KS,536347
Water Purifier,Free,B08XXLDTSJ,1298609
Water Purifier,Free,B09CGQ6FCK,3070198
Water Purifier,Free,B0CLF2V6DZ,0
Water Purifier,Free,B07PZPN3J9,3748650
Water Purifier,Free,B07NJ4V6R7,2771856
Water Purifier,Free,B08BPLRWNS,14859491
Water Purifier,Free,B0095S978O,3194100
Water Purifier,Free,B09GLW6Z7D,334091
Water Purifier,Free,B09GLW2F7L,1104337
Water Purifier,Free,B09GLVM5ZD,975562
Water Purifier,Free,B09GLW6Z7D,447096
Water Purifier,Free,B09YLWT89W,110363058
Water Purifier,Free,B08BPLRWNS,50494344
Water Purifier,Free,B09GLW2F7L,9313418
Water Purifier,Free,B08GZ8YF5B,3630102
Water Purifier,Free,B0958Q3K68,2841594
Water Purifier,Free,B08XXLDTSJ,1253980
Water Purifier,Free,B08KFC9HR6,3599817
Water Purifier,Free,B09VS25ZX7,2699640
Water Purifier,Free,B0B5RMK28Q,2207816
Water Purifier,Free,B09GLVM5ZD,1177344
Water Purifier,Free,B0095S978O,2805618
Water Purifier,Free,B0CR1V6527,699860
Water Purifier,Free,B09YLWT89W,97495166
Multivitamins,Free,B09X5SX17T,376246
Multivitamins,Free,B07Z7Q978T,143444
Multivitamins,Free,B08CBKFKK3,100928
Multivitamins,Free,B0BZCJWHLC,432839
Multivitamins,Free,B0BXD8Q8WD,63113.25
Water Purifier,Free,B08BPLRWNS,42245874
Water Purifier,Free,B09GLW2F7L,7189470
Water Purifier,Free,B08GZ8YF5B,2679361
Water Purifier,Free,B08XXLDTSJ,931300
Water Purifier,Free,B08KFC9HR6,3059660
Water Purifier,Free,B09VS25ZX7,2452173
Water Purifier,Free,B09GLVM5ZD,1273429
Water Purifier,Free,B09TZTFSHT,3620787
Water Purifier,Free,B08XXLDTSJ,1075680
Water Purifier,Free,B0CR1V6527,474620
Water Purifier,Free,B09F6HZJTD,1586862
Water Purifier,Free,B07NJ4V6R7,2386683
Water Purifier,Free,B0BGXFYD1R,1235250
Water Purifier,Free,B09YLWT89W,120607036
Water Purifier,Free,B09GLW2F7L,11049237
Water Purifier,Free,B09X1P3J6G,42757785
Water Purifier,Free,B08BPLRWNS,57224772
Water Purifier,Free,B08GZ8YF5B,5029000
Water Purifier,Free,B09CGQ6FCK,6083324
Water Purifier,Free,B08KFC9HR6,3144630
Water Purifier,Free,B09VS25ZX7,2437175
Water Purifier,Free,B0BGXFYD1R,1307782
Water Purifier,Free,B09TZTFSHT,3093818
Water Purifier,Free,B0CR1V6527,436908
Water Purifier,Free,B08XXLDTSJ,1153863
Water Purifier,Free,B0D45V7K8Y,0
Water Purifier,Free,B0B5RLKBFX,1486674
Water Purifier,Free,B08BPLRWNS,52015103
Water Purifier,Free,B09X1P3J6G,46195318
Water Purifier,Free,B09GLW2F7L,11545113
Water Purifier,Free,B09CGQ6FCK,4640643
Water Purifier,Free,B08GZ8YF5B,4319109
Water Purifier,Free,B08KFC9HR6,3161628
Water Purifier,Free,B09VS25ZX7,2274675
Water Purifier,Free,B08XXLDTSJ,1079523
Water Purifier,Free,B0D45V7K8Y,0
Water Purifier,Free,B0BGXFYD1R,1295784
Water Purifier,Free,B09TZTFSHT,3093818
Water Purifier,Free,B09F6HZJTD,1364870
Water Purifier,Free,B0BZWF1SFL,1259910
Water Purifier,Free,B0CZLPHW1Q,0
Water Purifier,Free,B0792Y3PCW,600242
Water Purifier,Free,B08GZ8YF5B,6526377
Water Purifier,Free,B09GLW2F7L,23862696
Water Purifier,Free,B09GLVM5ZD,5009134
Water Purifier,Free,B0BGXFYD1R,407932
Water Purifier,Free,B08XXLDTSJ,1442700
Water Purifier,Free,B09X1P3J6G,30670910
Water Purifier,Free,B09VS25ZX7,3224570
Water Purifier,Free,B0D26DQJZ4,1342842
Water Purifier,Free,B08KFC9HR6,3070851
Water Purifier,Free,B09YLWT89W,108608931
Water Purifier,Free,B0D45V7K8Y,1772803
Water Purifier,Free,B09CGQ6FCK,58879794
Water Purifier,Free,B09TZTFSHT,2379860
Water Purifier,Free,B09F2FW4ZK,49764548
Water Purifier,Certified,B09F2FW4ZK,47426382
Multivitamins,Certified,B0B4655BQ4,1522007
Water Purifier,Certified,B09F2FW4ZK,49764548
Water Purifier,Single,B07XXRJJT5,1163575
Water Purifier,Proven,B0B7FJNSZR,1785745
Water Purifier,Proven,B0BQ76BKQR,592704
Water Purifier,Proven,B0B7FJNSZR,1372536
Water Purifier,Proven,B0BQ76BKQR,672966
Water Purifier,Proven,B0CFDVSB6B,0
Water Purifier,Proven,B0B7FJNSZR,1737099
Water Purifier,Proven,B0BQ76BKQR,512770
Water Purifier,Proven,B0B7FJNSZR,1910002
Water Purifier,Proven,B08GZ8YF5B,6526377
Water Purifier,Proven,B0B7FJNSZR,5545668
Water Purifier,Proven,B0CY71PC2K,2281149
Water Purifier,TATA,B07D3R62MH,846885
Water Purifier,TATA,B097SS7JKS,964323
Water Purifier,TATA,B0746LH58R,181948
Water Purifier,TATA,B07D3R62MH,763035
Water Purifier,TATA,B0746LH58R,459774
Water Purifier,TATA,B097SS7JKS,890082
Water Purifier,TATA,B07D3R62MH,740250
Water Purifier,TATA,B07D3R62MH,754650
Water Purifier,TATA,B0746LH58R,415986
Water Purifier,TATA,B0746LH58R,394092
Water Purifier,TATA,B07D3R62MH,807755
Water Purifier,TATA,B097SS7JKS,748750
Water Purifier,TATA,B0746LH58R,332059
Multivitamins,TATA,B0BZDFSQH5,131370
Water Purifier,Pack,B09F2FW4ZK,19864228
Water Purifier,Pack,B09TZTFSHT,3549271
Water Purifier,Pack,B0BVFZ3MSS,216720
Water Purifier,Pack,B09F2FW4ZK,17118490
Water Purifier,Pack,B09F2FW4ZK,10846684
Water Purifier,Pack,B0BYT62LLY,123900
Water Purifier,Pack,B08K36NZSV,0
Multivitamins,Pack,B0BD2H2XJ2,5314750.3
Multivitamins,Pack,B0C6TFSVZ5,2322983.7
Multivitamins,Pack,B0CB48JTXP,975298.5
